checked_at_local,ready,status,card_status,card_ea_id,has_strategy_id,has_slug
04/28/2026 13:54:11,False,blocked,DRAFT,TBD,False,False
2026-04-28T13:55:21+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T13:55:48+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T13:56:22+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T13:57:27+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T13:57:53+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T13:58:20+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T13:58:45+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T13:59:24+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T13:59:52+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:00:53+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:02:08+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:03:01+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:03:52+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:04:42+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:05:31+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:06:12+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:06:52+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:07:22+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:07:54+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:08:24+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:08:56+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:09:27+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:09:54+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:10:20+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:10:53+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:11:22+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:11:52+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:12:25+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:12:54+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:13:27+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:13:56+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:14:22+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:14:57+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:15:36+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:16:09+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:17:23+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:18:08+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:18:35+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:19:11+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:19:39+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:20:09+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:20:35+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:21:12+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:22:01+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:22:33+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:23:07+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:23:47+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:24:31+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:24:52+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:25:31+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:26:11+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:27:00+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:27:37+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:28:12+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:29:02+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:30:29+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:31:01+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:31:34+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:32:17+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:33:00+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:33:40+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:34:29+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:34:53+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:35:28+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:36:03+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:36:43+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:37:38+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:38:31+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:39:05+02:00,False,blocked,DRAFT,TBD,False,False
