checked_at,head,blocked,status,ea_id,registry_row_present
2026-04-28T13:55:43.8243943+02:00,f90a037,True,DRAFT,TBD,False
2026-04-28T13:55:47.7504376+02:00,f90a037,True,DRAFT,TBD,False
2026-04-28T13:56:24.5232039+02:00,98d1fa6,True,DRAFT,TBD,False
2026-04-28T13:56:35.3877113+02:00,0d57e9c,True,DRAFT,TBD,False
2026-04-28T13:57:06.5180775+02:00,5e4e990,True,DRAFT,TBD,False
2026-04-28T13:57:11.1754045+02:00,af5f05e,True,DRAFT,TBD,False
2026-04-28T13:57:38.9204938+02:00,5a2bfa3,True,DRAFT,TBD,False
2026-04-28T13:57:45.1135427+02:00,6be4052,True,DRAFT,TBD,False
2026-04-28T13:58:22.2607400+02:00,74cd210,True,DRAFT,TBD,False
2026-04-28T13:58:26.5625381+02:00,3df0313,True,DRAFT,TBD,False
2026-04-28T13:58:59.2922059+02:00,a470b27,True,DRAFT,TBD,False
2026-04-28T13:59:03.9600208+02:00,a470b27,True,DRAFT,TBD,False
2026-04-28T13:59:49.6187876+02:00,a013600,True,DRAFT,TBD,False
2026-04-28T13:59:53.1352576+02:00,d7d3095,True,DRAFT,TBD,False
2026-04-28T14:00:27.0430663+02:00,5060029,True,DRAFT,TBD,False
2026-04-28T14:00:33.6414144+02:00,8a0b157,True,DRAFT,TBD,False
2026-04-28T14:01:23.3254719+02:00,61699e2,True,DRAFT,TBD,False
2026-04-28T14:01:31.7699672+02:00,bc87ec0,True,DRAFT,TBD,False
2026-04-28T14:02:12.5022855+02:00,8485364,True,DRAFT,TBD,False
2026-04-28T14:02:18.1598213+02:00,05d4395,True,DRAFT,TBD,False
