ea_id,slug,strategy_id,status,owner,created_at
1490,raschke-anti-pullback-reversal-h4,6e967762-b26d-59a3-b076-35c17f2e7c36,active,Development,2026-06-28
11429,carter-london-open-box-breakout-m5,ec63ff86-b6dd-522b-ac8e-d90de82e2dee,active,Development,2026-06-21
11548,carter-t-m5-session-box-breakout,42530cb3-0265-534a-89cc-150f80733ff5,active,Development,2026-06-20
1128,daniel-momentum-crash-vol-scale,afab7a6f-c3c8-51ae-a609-f376744beb8e,active,Research,2026-05-18
1001,breakout-atr,TBD,active,Development,2026-04-27
1002,davey-eu-night,SRC01_S01,active,Development,2026-04-27
1003,davey-baseline-3bar,SRC01_S03,active,Development,2026-04-28
1004,davey-es-breakout,SRC01_S04,active,Development,2026-04-28
1017,chan-pairs-stat-arb,SRC02_S01,active,Development,2026-05-01
1009,lien-fade-double-zeros,SRC04_S03,active,Development,2026-05-01
1010,lien-waiting-deal,SRC04_S04,active,Development,2026-05-01
1011,lien-inside-day-breakout,SRC04_S05,active,Development,2026-05-01
1012,lien-fader,SRC04_S06,active,Development,2026-05-01
1013,lien-20day-breakout,SRC04_S07,active,Development,2026-05-01
1014,lien-channels,SRC04_S08,active,Development,2026-05-01
1015,lien-perfect-order,SRC04_S09,active,Development,2026-05-01
1016,lien-carry-trade,SRC04_S11,active,Development,2026-05-01
1018,williams-pro-go,SRC03_S16,active,Development,2026-05-09
1019,williams-pinch-paunch,SRC03_S17,active,Development,2026-05-09
1020,williams-vol-bo,SRC03_S01,active,Development,2026-05-13
1021,lien-dbb-pick-tops,SRC04_S02a,active,Development,2026-05-13
1022,lien-dbb-trend-join,SRC04_S02b,active,Development,2026-05-13
1023,chan-at-bb-pair,SRC05_S01,active,Development,2026-05-13
1024,chan-at-kf-pair,SRC05_S02,active,Development,2026-05-13
1025,chan-at-buy-on-gap-src05,SRC05_S03,active,Development,2026-05-13
1026,chan-at-fx-coint-pair,SRC05_S05,active,Development,2026-05-13
1027,chan-at-cal-spread,SRC05_S06,active,Development,2026-05-13
1028,chan-at-ts-mom-fut,SRC05_S07,active,Development,2026-05-13
1029,chan-at-fstx-gap-mom-src05,SRC05_S12,active,Development,2026-05-13
1030,singh-rapid-fire,SRC06_S01,active,Development,2026-05-13
1031,singh-piranha,SRC06_S02,active,Development,2026-05-13
1032,singh-fade-break,SRC06_S03,active,Development,2026-05-13
1033,singh-trade-break,SRC06_S04,active,Development,2026-05-13
1034,singh-trend-rider,SRC06_S07,active,Development,2026-05-13
1035,singh-trend-bouncer,SRC06_S08,active,Development,2026-05-13
1036,singh-fifth-element,SRC06_S09,active,Development,2026-05-13
